Role,Name,C,C++,Problem Solving Skills,Python,ML,AI,Pandas,SQL,Statistics,Debugging
C Developer,Stephanie Hansen,5,1,5,2,2,2,0,0,4,0
C Developer,Christina Williams,4,4,4,1,2,1,3,3,5,1
C Developer,Timothy Lozano,4,2,4,4,3,5,1,4,5,3
C Developer,Edward Silva,4,2,4,3,3,0,3,0,4,0
C Developer,Ryan Rowe,5,3,5,4,1,0,2,2,5,3
C Developer,Matthew Smith,4,0,4,2,2,5,0,4,4,4
C Developer,Kimberly Smith,5,0,5,3,3,5,0,1,4,0
C Developer,Patricia Kelly,5,1,5,2,2,4,3,0,5,3
C Developer,April Herrera,5,4,4,0,1,4,0,2,5,4
C Developer,Donald Williamson,4,3,4,2,2,1,0,1,5,5
C Developer,Paula Shepard,4,3,5,0,1,0,2,0,5,3
C Developer,Heidi Cook,5,2,5,4,3,1,0,0,4,0
C Developer,Stephanie Allen,5,1,5,0,1,1,0,1,4,2
C Developer,Michael Gomez,5,2,5,1,0,1,3,1,4,5
C Developer,Michael Scott,5,3,4,0,2,1,3,3,5,5
C Developer,Angela Johnson,4,2,4,1,2,2,0,0,4,0
C Developer,Holly Lynn,5,1,4,4,2,5,1,0,4,3
C Developer,Michelle Richardson,4,0,5,1,1,1,1,2,4,0
C Developer,Jennifer Thompson,4,2,5,2,0,3,0,4,4,2
C Developer,Dr. Carolyn Lyons,4,2,5,4,0,3,0,2,5,3
C Developer,Mr. Jermaine Bond Jr.,4,4,4,2,3,1,1,0,5,5
C Developer,Elijah Hill,4,3,4,3,1,0,1,0,5,0
C Developer,Harold Martinez,4,0,5,1,3,0,3,3,5,3
C Developer,Tammie Humphrey,4,2,5,2,0,1,3,2,4,4
C Developer,Patricia Thompson,5,0,5,0,1,1,1,4,4,0
C Developer,Shannon Parker,4,0,5,4,0,3,0,1,5,4
C Developer,Jennifer Davis,4,3,4,4,2,4,3,4,5,3
C Developer,Mark Mercer,4,1,4,1,3,5,3,0,4,0
C Developer,Glenn Patterson,5,0,4,0,3,3,3,1,5,5
C Developer,James Moore,4,2,5,2,0,5,2,0,5,3
C Developer,Melinda Ryan,5,2,4,1,1,1,2,3,5,0
